short,20-07-2021,22-07-2021,23-07-2021,26-07-2021,27-07-2021
AARTIIND,0.2930367505,0.2693877551,0.2806343104,0.326519337,0.3802905875
ACC,0.2765773552,0.2744030163,0.6177394035,0.3782587309,0.3204819277
ADANIENT,0.8077254699,0.8696913197,0.9298717418,0.9475155948,0.8876595745
ADANIPORTS,0.6415257911,0.6284453058,0.5646342838,0.6101136364,0.598462093
ABFRL,0.5521834661,0.5421141062,0.4754626508,0.5132342007,0.5228315655
APLLTD,0.1707670043,0.1909160893,0.7795726941,0.4364183597,0.1429425837
ALKEM,0.8035067658,0.817447496,0.6044310604,0.736597253,0.7980507706
AMARAJABAT,0.795953263,0.701606733,0.6614295198,0.6667442402,0.6781609195
AMBUJACEM,0.487747958,0.4696789536,0.4534461911,0.6076833527,0.5
APOLLOHOSP,0.9096643957,1.102544333,1.031732892,0.7960752249,0.7611729376
