short,01-10-2021,04-10-2021,05-10-2021,06-10-2021,07-10-2021,08-10-2021,11-10-2021,12-10-2021,13-10-2021,14-10-2021,18-10-2021,19-10-2021
AARTIIND,0.5034722222,0.4027978775,0.5007078811,0.5156462585,0.5519357885,0.5861255309,0.6061595894,0.6367168528,0.6196705426,0.561953017,0.5050423558,0.5168220511
ABFRL,0.3742889647,0.4236373448,0.4831719686,0.5510917031,0.6448461163,0.6758587325,0.6406406406,0.6759072581,0.6355727405,0.5896964121,0.5095412099,0.4762430939
ACC,0.6138132296,0.5692055692,0.5532696547,0.5282674772,0.5531914894,0.5188679245,0.4904357067,0.5022354694,0.4990338164,0.4703493095,0.369528002,0.4043530351
ADANIENT,0.7117585848,0.6281289393,0.6102579853,0.6088505275,0.6686502177,0.6418566328,0.6012441285,0.5782261134,0.5578264594,0.5572234899,0.5543675826,0.558912726
ADANIPORTS,0.6472660438,0.6421608448,0.6397730076,0.6382025055,0.621440726,0.6157085942,0.6010775862,0.5910914081,0.5662988967,0.5644743159,0.626552939,0.6010001961
ALKEM,0.2122302158,0.1861198738,0.2239263804,0.223796034,0.2118226601,0.204954955,0.1835564054,0.2083333333,0.1990131579,0.2104404568,0.2342657343,0.2457983193
AMARAJABAT,0.4683717298,0.5051950264,0.5082872928,0.526324476,0.516578568,0.514354067,0.452912834,0.4413132695,0.4471359743,0.4469971786,0.4497169698,0.4854595937
AMBUJACEM,0.4258196721,0.451270383,0.4715707178,0.4823644677,0.5235219326,0.5393700787,0.548211731,0.5028633761,0.5016330974,0.5354462052,0.5417008477,0.5197870863
APLLTD,0.3423312883,0.3325842697,0.3496280553,0.3223140496,0.3299445471,0.325,0.2265625,0.2296157451,0.2486591906,0.2472289157,0.2465492623,0.2543039843
APOLLOHOSP,0.488162345,0.4938917976,0.4521402452,0.4210526316,0.4258306962,0.4144650553,0.3840337612,0.3879744709,0.3857213684,0.3609318432,0.3250037634,0.3383347073
APOLLOTYRE,0.4337628015,0.4596937301,0.459141842,0.4611816406,0.4908818386,0.4834466126,0.5342194009,0.5180029696,0.5187511898,0.5378331064,0.4898477157,0.4600033261
ASHOKLEY,0.5008130081,0.5214258139,0.5263610667,0.4934436801,0.5668346532,0.5491916859,0.5493428637,0.5847477887,0.6247559547,0.5976360502,0.5294692283,0.4682263997
ASIANPAINT,0.4208837324,0.4378003203,0.4728894294,0.4843901493,0.5324512376,0.5362090325,0.5237589907,0.5558826993,0.5470746864,0.5667597116,0.5075002419,0.5025247971
ASTRAL,0.328320802,0.23977433,0.2993920973,0.4139715395,0.4345238095,0.4459308807,0.4222936763,0.4193888303,0.4479418886,0.4306569343,0.4073604061,0.4004550626
AUBANK,0.5045317221,0.5555047967,0.5887640449,0.5330202524,0.5567282322,0.5621538462,0.5583615645,0.5588325653,0.5679012346,0.584290593,0.4541296061,0.4541484716
AUROPHARMA,0.5932290772,0.496062038,0.5303030303,0.522860611,0.5467142129,0.5483647175,0.5572580645,0.5339901478,0.5443210598,0.515772723,0.5179657795,0.5063601244
